price,size,piperepair_plug,pipe_repair,sq_price,area,year_built,room_num,sqprice_adjusted
279000.0,45.0,0.0,2055,6200.0, Pikku-Huopalahti,2005.0,2,6200.0
310000.0,78.0,0.0,2045,3974.36, Munkkivuori,1995.0,3,3974.36
49741.0,68.0,0.0,2064,731.49, Suurmetsä,2014.0,3,731.49
169000.0,75.0,262.5,2016,2253.33, Kontula,1966.0,3,2515.83
368000.0,53.0,1650.0,1979,6943.4, Taka-Töölö,1929.0,2,8593.4
168000.0,57.0,37.5,2022,2947.37, Vuosaari,1972.0,2,2984.87
145000.0,80.0,0.0,2023,1812.5, Suurmetsä,1973.0,2,1812.5
314000.0,74.0,0.0,2046,4243.24, Tapanila,1996.0,3,4243.24
398000.0,62.0,825.0,2001,6419.35, Meilahti,1951.0,2,7244.35
439000.0,73.0,450.0,2011,6013.7, Kulosaari,1961.0,3,6463.7
160000.0,74.0,0.0,2036,2162.16, Vesala,1986.0,3,2162.16
338000.0,50.0,1162.5,1992,6760.0, Meilahti,1942.0,2,7922.5
472000.0,87.0,0.0,2064,5425.29, Arabianranta,2014.0,3,5425.29
398000.0,58.0,0.0,2064,6862.07, Arabianranta,2014.0,2,6862.07
178000.0,73.0,0.0,2034,2438.36, Itäkeskus,1984.0,3,2438.36
380000.0,52.0,0.0,2064,7307.69, Lauttasaari Vattuniemi,2014.0,2,7307.69
309000.0,40.0,0.0,2065,7725.0, Vallila,2015.0,2,7725.0
322000.0,40.0,1350.0,1987,8050.0, Taka-Töölö,1937.0,2,9400.0
368000.0,51.0,0.0,2068,7215.69, Vallila,2018.0,2,7215.69
339000.0,73.0,0.0,2041,4643.84, Rastila,1991.0,3,4643.84
235000.0,33.0,1350.0,1987,7121.21, Kallio,1937.0,2,8471.21
469000.0,43.0,0.0,2066,10906.98, Jätkäsaari Saukonpaadenranta,2016.0,2,10906.98
325000.0,42.0,187.5,2018,7738.1, Lauttasaari,1968.0,2,7925.6
189000.0,48.0,0.0,2034,3937.5, Lassila,1984.0,2,3937.5
375000.0,63.0,1650.0,1979,5952.38, Kamppi,1929.0,2,7602.38
349000.0,77.0,0.0,2056,4532.47, Aurinkolahti,2006.0,3,4532.47
229000.0,58.0,0.0,2050,3948.28, Puotila,2000.0,2,3948.28
409000.0,45.0,2475.0,1957,9088.89, Punavuori,1907.0,2,11563.89
299000.0,73.0,0.0,2069,4095.89, Alppikylä,2019.0,3,4095.89
189750.0,69.0,262.5,2016,2750.0, Kontula,1966.0,3,3012.5
195000.0,73.0,300.0,2015,2671.23, Vuosaari,1965.0,3,2971.23
278000.0,41.0,0.0,2063,6780.49, Hermanni,2013.0,2,6780.49
265000.0,40.0,1762.5,1976,6625.0, Kallio,1926.0,2,8387.5
395000.0,39.0,450.0,2011,10128.21, Ullanlinna,1961.0,2,10578.21
225000.0,48.0,37.5,2022,4687.5, Oulunkylä,1972.0,2,4725.0
196000.0,41.0,712.5,2004,4780.49, Herttoniemi,1954.0,2,5492.99
136900.0,60.0,0.0,2037,2281.67, Mellunkylä,1987.0,2,2281.67
610000.0,89.0,1200.0,1991,6853.93, Meilahti,1941.0,3,8053.93
277700.0,40.0,0.0,2074,6942.5, Kruunuvuorenranta,2024.0,2,6942.5
356800.0,70.0,0.0,2072,5097.14, Pitäjänmäki,2022.0,3,5097.14
44540.0,70.0,0.0,2072,636.29, Kannelmäki,2022.0,3,636.29
47226.0,82.0,0.0,2065,575.93, Vuosaari,2015.0,3,575.93
47888.0,78.0,0.0,2066,613.95, Laajasalo,2016.0,3,613.95
43879.0,73.0,0.0,2065,601.08, Vuosaari,2015.0,3,601.08
36928.0,49.0,0.0,2069,753.63, Kaarela,2019.0,2,753.63
47770.0,82.0,0.0,2065,582.56, Vuosaari,2015.0,3,582.56
15397.0,41.0,0.0,2048,375.54, Vuosaari,1998.0,2,375.54
178000.0,73.0,0.0,2037,2438.36, Pihlajamäki,1987.0,3,2438.36
319000.0,40.0,1425.0,1985,7975.0, Etu-Töölö,1935.0,1,9400.0
129000.0,48.0,262.5,2016,2687.5, Siltamäki,1966.0,2,2950.0
468000.0,82.0,0.0,2043,5707.32, Ruoholahti,1993.0,3,5707.32
549000.0,69.0,0.0,2062,7956.52, Helsinki,2012.0,3,7956.52
555000.0,69.0,0.0,2070,8043.48, Lauttasaari,2020.0,3,8043.48
168000.0,62.0,37.5,2022,2709.68, Siltamäki,1972.0,2,2747.18
169000.0,59.0,0.0,2029,2864.41, Tapanila,1979.0,2,2864.41
335000.0,81.0,412.5,2012,4135.8, Puotila,1962.0,3,4548.3
195000.0,75.0,0.0,2041,2600.0, Vesala,1991.0,3,2600.0
249000.0,77.0,0.0,2034,3233.77, Lassila,1984.0,3,3233.77
125000.0,62.0,112.5,2020,2016.13, Siltamäki,1970.0,2,2128.63
229000.0,53.0,0.0,2055,4320.75, Aurinkolahti,2005.0,2,4320.75
169000.0,56.0,0.0,2026,3017.86, Kannelmäki,1976.0,2,3017.86
49598.0,71.0,0.0,2072,698.56, Pasila,2022.0,3,698.56
43575.0,11.0,0.0,2060,3961.36, Alppikylä,2010.0,3,3961.36
278000.0,66.0,0.0,2064,4212.12, Viikki,2014.0,3,4212.12
495000.0,64.0,750.0,2003,7734.38, Ullanlinna,1953.0,2,8484.380000000001
240000.0,53.0,0.0,2055,4528.3, Haaga,2005.0,2,4528.3
285000.0,65.0,337.5,2014,4384.62, Kannelmäki,1964.0,3,4722.12
225000.0,70.0,0.0,2039,3214.29, Malmi,1989.0,3,3214.29
179000.0,80.0,0.0,2026,2237.5, Oulunkylä,1976.0,3,2237.5
374000.0,43.0,1350.0,1987,8697.67, Taka-Töölö,1937.0,2,10047.67
222500.0,62.0,0.0,2032,3588.71, Tapaninkylä,1982.0,2,3588.71
149500.0,58.0,37.5,2022,2577.59, Oulunkylä,1972.0,2,2615.09
245000.0,40.0,300.0,2015,6125.0, Meilahti,1965.0,2,6425.0
258000.0,41.0,787.5,2002,6292.68, Ruskeasuo,1952.0,2,7080.18
245000.0,61.0,0.0,2068,4016.39, Kaarela/Kuninkaantammi,2018.0,2,4016.39
35676.0,61.0,0.0,2074,584.85, Pasila,2024.0,3,584.85
12948.0,57.0,0.0,2044,227.16, Mellunmäki,1994.0,2,227.16
775000.0,82.0,2437.5,1958,9451.22, Siltasaari,1908.0,2,11888.72
383000.0,71.0,0.0,2055,5394.37, Aurinkolahti,2005.0,3,5394.37
199000.0,58.0,0.0,2039,3431.03, Malmi,1989.0,2,3431.03
299000.0,80.0,37.5,2022,3737.5, Oulunkylä,1972.0,3,3775.0
168000.0,43.0,487.5,2010,3906.98, Kannelmäki,1960.0,2,4394.48
199000.0,68.0,0.0,2030,2926.47, Oulunkylä,1980.0,3,2926.47
299000.0,71.0,0.0,2039,4211.27, Vuosaari,1989.0,3,4211.27
52258.0,79.0,0.0,2068,661.49, Laajasalo,2018.0,3,661.49
44861.0,73.0,0.0,2060,614.53, Viikinmäki,2010.0,3,614.53
22256.0,51.0,0.0,2052,436.39, Viikinmäki,2002.0,2,436.39
